unique_id,repo_name,path,effective_code_length,loop_count,computation_count,execution_time_cycles,instruction_count,cpi,I1mr,ILmr,Dr,Dw,D1mr,D1mw,DLmr,DLmw,cpu_fre,execution_time,total_memory,instruction_cache_miss_rate,data_cache_miss_rate,code
199-33056,fernandozamoraj/c_sandbox,file_io/write.c,34,1,6,4491142.4629389,204599.0,21.950947951847272,1526.0,1497.0,46124.0,18117.0,1656.0,648.0,1374.0,603.0,1500000000,0.0029940949752926,1082014363648.0,0.0147752432807589,0.0666396849364113,"#include<stdio.h>
#include<string.h>

typedef struct{
    char firstName[30];
    char lastName[30];
    int age;
    float gpa;
} Student;

void writeStudent(FILE* fp){
    Student student;
    char temp[10];

    strcpy(student.firstName, ""Mary"");
    strcpy(student.lastName, ""Jones"");
    student.age = 17;
    student.gpa = 3.9;

  
    fputs(student.firstName, fp);
    fputs("","", fp);
    fputs(student.lastName, fp);    
    fputs("","", fp);

    sprintf(temp, ""%d"", student.age);
    fputs(temp, fp);
    fputs("","", fp);

    sprintf(temp, ""%0.1f"", student.gpa);
    fputs(temp, fp);
    fputs(""\n"", fp);
}

int main(void){
    
    FILE* fp = fopen(""C:\\dev\\temp\\students1.dat"", ""w"");
    
    if(fp != NULL){

        for(int i=0;i<10;i++){
            writeStudent(fp);
        }
    
        fclose(fp);
    }

    return 0;
}"
249-34196,ArmstrongJ/MiNTLib,stdio/test-fwrite.c,56,2,4,2658439.3344819,400798.0,6.63286493445576,1518.0,1482.0,49301.0,215412.0,4967.0,3965.0,1445.0,3694.0,1500000000,0.0017722928896546,1082014363648.0,0.0074850672907549,0.053155681813889,"#include <stdio.h>
#include <string.h>

long _stksize = 256L * 1024L;

int
main (int argc, char *argv[])
{
  FILE *f = tmpfile ();
  char obuf[99999], ibuf[sizeof obuf];
  char *line;
  size_t linesz;

  if (! f)
    {
      perror (""tmpfile"");
      return 1;
    }

  if (fputs (""line\n"", f) == EOF)
    {
      perror (""fputs"");
      return 1;
    }

  memset (obuf, 'z', sizeof obuf);
  memset (ibuf, 'y', sizeof ibuf);

  if (fwrite (obuf, sizeof obuf, 1, f) != 1)
    {
      perror (""fwrite"");
      return 1;
    }

  rewind (f);

  line = NULL;
  linesz = 0;
  if (getline (&line, &linesz, f) != 5)
    {
      perror (""getline"");
      return 1;
    }
  if (strcmp (line, ""line\n""))
    {
      puts (""Lines differ.  Test FAILED!"");
      return 1;
    }

  if (fread (ibuf, sizeof ibuf, 1, f) != 1)
    {
      perror (""fread"");
      return 1;
    }

  if (memcmp (ibuf, obuf, sizeof ibuf))
    {
      puts (""Buffers differ.  Test FAILED!"");
      return 1;
    }

  asprintf (&line, ""\
GDB is free software and you are welcome to distribute copies of it\n\
 under certain conditions; type \""show copying\"" to see the conditions.\n\
There is absolutely no warranty for GDB; type \""show warranty\"" for details.\n\
"");

  puts (""Test succeeded."");
  return 0;
}
"
210-24961,c4pr1c3/learngit,AppliedCryptology/benchmark/isprime.c,16,1,4,326734849.4846373,889621918.0,0.3672738299147886,1339.0,1320.0,39173.0,13297.0,1617.0,636.0,1340.0,593.0,1500000000,0.2178232329897582,1082014363648.0,2.9889101720625546e-06,0.0797789212883552,"#include <stdio.h> 

int NUM = 111181111; 

int is_prime(int n) { 
    int i; 
    for(i = 2; i < n; i++) { 
        if (n % i == 0) { 
            return 0; 
        } 
    } 
    return 1; 
} 

int main() { 
    int result; 

    result = is_prime(NUM); 
    printf(""%d\n"", result); 

    return 0; 
}
"
126-26703,jdetter/Chronos,user/src/sleep-test.c,19,5,2,31502721124.794334,176112.0,178878.90163078043,1312.0,1293.0,40075.0,13744.0,1626.0,636.0,1343.0,592.0,1500000000,21.001814083196223,1082014363648.0,0.0147917234487144,0.0779836117356324,"#include <stdio.h>
#include <unistd.h>

int main(int argc, char** argv)
{
	printf(""sleeping for 1 second...\n"");
	fflush(stdout);
	sleep(1);
	printf(""sleeping for 2 seconds...\n"");
	fflush(stdout);
	sleep(2);
	printf(""sleeping for 3 seconds...\n"");
	fflush(stdout);
	sleep(3);
	printf(""sleeping for 5 seconds...\n"");
	fflush(stdout);
	sleep(5);
	printf(""sleeping for 10 seconds...\n"");
	fflush(stdout);
	sleep(10);

	return 0;
}
"
102-29093,dunso/algorithm,C/Math/LeetCode0007.c,17,1,5,1972039.69582905,173238.0,11.383408951846592,1340.0,1320.0,39161.0,13297.0,1618.0,638.0,1339.0,593.0,1500000000,0.0013146931305527,1082014363648.0,0.0153545988755353,0.0798352968088756,"#include <limits.h>
#include <stdio.h>

int reverse(int x)
{
    long long mResult = 0;
    while (x) {
        mResult = mResult * 10 + x % 10;

        if (mResult > INT_MAX || mResult < INT_MIN) {
            return 0;
        }
        x /= 10;
    }
    return mResult;
}

int main()
{
    printf(""%d\n"", reverse(1534236469));
    return 0;
}"
367-9893,707wk/Senior-middle-school,temp/encrypt/main.c,29,1,5,2503038.15118965,176407.0,14.188994767781324,1353.0,1330.0,40199.0,13816.0,1640.0,643.0,1360.0,600.0,1500000000,0.0016686921007931,1082014363648.0,0.0152091470293128,0.0785522540035175,"#include<stdio.h>
void encrypt()
{
	char c;
	FILE *fin,*fout;
	if((fin=fopen(""temp"",""r""))==NULL)
	{
		printf(""error"");
		return ;	
	}
	if((fout=fopen(""error"",""w""))==NULL)
	{
		printf(""error"");
		return ;	
	}
	while(!feof(fin))
	{
		c=fgetc(fin);
		c+=5;
		//fwrite(&c,1,1,fout);
		fputc(c,fout);
	}
	fclose(fin);
	fclose(fout);
}
int main()
{
	encrypt();
	return 0;	
}
"
253-34286,SanDisk-Open-Source/SSD_Dashboard,uefi/userspace/glibc/stdio-common/test-fwrite.c,55,2,3,2359669.5391461,400798.0,5.887427082969476,1518.0,1482.0,49301.0,215412.0,4967.0,3965.0,1445.0,3694.0,1500000000,0.0015731130260974,1082014363648.0,0.0074850672907549,0.053155681813889,"#include <stdio.h>
#include <string.h>

int
main (int argc, char *argv[])
{
  FILE *f = tmpfile ();
  char obuf[99999], ibuf[sizeof obuf];
  char *line;
  size_t linesz;

  if (! f)
    {
      perror (""tmpfile"");
      return 1;
    }

  if (fputs (""line\n"", f) == EOF)
    {
      perror (""fputs"");
      return 1;
    }

  memset (obuf, 'z', sizeof obuf);
  memset (ibuf, 'y', sizeof ibuf);

  if (fwrite (obuf, sizeof obuf, 1, f) != 1)
    {
      perror (""fwrite"");
      return 1;
    }

  rewind (f);

  line = NULL;
  linesz = 0;
  if (getline (&line, &linesz, f) != 5)
    {
      perror (""getline"");
      return 1;
    }
  if (strcmp (line, ""line\n""))
    {
      puts (""Lines differ.  Test FAILED!"");
      return 1;
    }

  if (fread (ibuf, sizeof ibuf, 1, f) != 1)
    {
      perror (""fread"");
      return 1;
    }

  if (memcmp (ibuf, obuf, sizeof ibuf))
    {
      puts (""Buffers differ.  Test FAILED!"");
      return 1;
    }

  asprintf (&line, ""\
GDB is free software and you are welcome to distribute copies of it\n\
 under certain conditions; type \""show copying\"" to see the conditions.\n\
There is absolutely no warranty for GDB; type \""show warranty\"" for details.\n\
"");

  puts (""Test succeeded."");
  return 0;
}
"
235-30129,jasonmobley/euler-c,002.c,22,1,6,1629844.3078993498,173392.0,9.3997646950263,1333.0,1315.0,39180.0,13311.0,1617.0,636.0,1340.0,593.0,1500000000,0.0010865628719329,1082014363648.0,0.0152717541755098,0.0797470042483473,"#include <stdio.h>

int main(int argc, char **argv)
{
   int sum;
   int fib_curr, fib_prev, fib_temp;
   sum = 0;
   fib_curr = 2;
   fib_prev = 1;
   fib_temp = 0;

   do
   {
      if (fib_curr % 2 == 0)
      {
         sum += fib_curr;
      }

      fib_temp = fib_curr;
      fib_curr = fib_curr + fib_prev;
      fib_prev = fib_temp;
   }
   while (fib_curr <= 4000000);

   printf(""The sum is %i.\n"", sum);

   return 0;
}

"
070-22791,ForceBru/PyVM,C/src/recursion.c,36,1,5,1666966.3600623,171339.0,9.729051762879438,1150.0,1142.0,38744.0,12809.0,1582.0,587.0,1326.0,546.0,1500000000,0.0011113109067082,1082014363648.0,0.0133769894770017,0.078385350998002,"unsigned long long factorial(unsigned long long x) {
    if (x == 0)
        return 1;

    return x * factorial(x - 1);
}

#define NTESTS 21

int main(void) {
    unsigned long long factorials[NTESTS] = {
        1,
        1,
        2,
        6,
        24,
        120,
        720,
        5040,
        40320,
        362880,
        3628800,
        39916800,
        479001600,
        6227020800,
        87178291200,
        1307674368000,
        20922789888000,
        355687428096000,
        6402373705728000,
        121645100408832000,
        2432902008176640000
    };

    for (unsigned int i = 0; i < NTESTS; ++i) {
        unsigned long long ret = factorial(i);

        if (ret != factorials[i])
            return i + 1;
    }

    return 0;
}
"
189-12218,dhayalramk/Practice,Books/Pragmatic_C/Chapter1/Exercise_1_8.c,25,1,6,1570457.8254370498,185297.0,8.47218249620879,1355.0,1335.0,41713.0,15018.0,1627.0,641.0,1345.0,597.0,1500000000,0.0010469718836247,1082014363648.0,0.0145172344938126,0.0742098676208774,"#include<stdio.h>
struct cal{
  char monthName[12];
  int monthDays;
};

int main(){
  struct cal c[12] = {
    { ""January"", 31 },
    { ""Febrav"", 28 },
    { ""March"", 31 },
    { ""April"", 30 },
    { ""May"", 31 },
    { ""June"", 30 },
    { ""July"", 31 },
    { ""August"", 31 },
    { ""Septem"", 30 },
    { ""Octobe"", 31 },
    { ""Novemb"", 30 },
    { ""Decemb"", 31 },
  };
  printf(""%s\t\t %s\n"", ""Months"", ""No. of Days""  );
  for( int i=0;i<12;i++ ){
    printf(""%s\t\t %d\n"", c[i].monthName, c[i].monthDays );
  }
  return 0;
}
"
125-18443,csziacobus/euler,src/1-10/euler5.c,22,2,5,132088381.56424454,342124573.0,0.3860827061960264,1338.0,1319.0,39188.0,13309.0,1618.0,636.0,1340.0,593.0,1500000000,0.0880589210428297,1082014363648.0,7.766177029324346e-06,0.0797569384917233,"#include <stdio.h>

int
main()
{
  int i;
  int j;
  for (i = 20; ; i += 20)
    { 
      for (j = 1; j <= 20; j++)
	{
	  if (!(i % j))
	    continue;
	  else
	    break;
	}
      if (j > 20)
	{
	  printf(""answer: %d\n"", i);
	  return 0;
	}
    }
  return 0;
}
"
363-26280,neo-classic/cex,head_first_c/3/order_pizza.c,33,2,8,1411276.40381445,177181.0,7.965165565156535,1323.0,1302.0,40335.0,13726.0,1697.0,641.0,1355.0,595.0,1500000000,0.0009408509358763,1082014363648.0,0.0148153583059131,0.0793178076617154,"#include <stdio.h>
#include <unistd.h>

int main(int argc, char *argv[])
{
    char *delivery = """";
    int thick = 0;
    int count = 0;
    char ch;

    while ((ch = getopt(argc, argv, ""d:t"")) != EOF) {
        switch (ch) {
            case 'd':
                delivery = optarg;
                break;
            case 't':
                thick = 1;
                break;
            default:
                fprintf(stderr, ""Неизвестный параметр: '%s'\n"", optarg);
                return 1;
        }
    }

    argc -= optind;
    argv += optind;

    if (thick) {
        puts(""Пышное тесто."");
    }

    if (delivery[0]) {
        printf(""Будет доставлено: %s.\n"", delivery);
    }

    puts(""Ингридиенты:"");
    for(count = 0; count < argc; count++) {
        puts(argv[count]);
    }

    return 0;

}"
045-20790,gdos/SmallerC,v0100/tests/picoc/09.c,18,1,4,1830197.98714665,179276.0,10.208823266918047,1336.0,1318.0,40514.0,14250.0,1618.0,636.0,1341.0,593.0,1500000000,0.0012201319914311,1082014363648.0,0.0148039893795042,0.0764735957928566,"#include <stdio.h>

int main()
{
   int a;
   int p;
   int t;

   a = 1;
   p = 0;
   t = 0;

   do
   {
      printf(""%d\n"", a);
      t = a;
      a = t + p;
      p = t;
   } while (a < 100);

   return 0;
}

// vim: set expandtab ts=4 sw=3 sts=3 tw=80 :
"
232-29394,qeedquan/misc_utilities,snippets/threading/rwlock.c,21,1,7,1374060714.2681255,11006051719.0,0.124845925594546,1417.0,1395.0,2684398898.0,1073758459.0,1663.0,641.0,1369.0,599.0,1500000000,0.9160404761787504,1082014363648.0,2.5549580101877765e-07,1.1367272825984543e-06,"#define _GNU_SOURCE
#include <stdio.h>
#include <string.h>
#include <limits.h>
#include <pthread.h>

void
maxrdlocks(void)
{
	unsigned long long i;
	pthread_rwlock_t rw;
	int r;

	pthread_rwlock_init(&rw, NULL);

	for (i = 0; i < ULONG_MAX; i++) {
		if ((r = pthread_rwlock_rdlock(&rw)) != 0)
			break;
		if (i % 10000000 == 0)
			printf(""%llu\n"", i);
	}

	printf(""%d %s %llu\n"", r, strerror(r), i);
}

int
main(void)
{
	maxrdlocks();
	return 0;
}
"
248-34377,j3rgus/assignments,pb173-sys_lin/uloha7/src/condvar.c,25,1,2,15002272829.879076,183902.0,81577.54036932714,1545.0,1505.0,41914.0,14734.0,1668.0,715.0,1378.0,672.0,1500000000,10.001515219919384,1082014363648.0,0.0165849202292525,0.078255189944923,"#include <unistd.h>
#include <pthread.h>
#include <stdio.h>

pthread_mutex_t mutex;
pthread_cond_t cond = PTHREAD_COND_INITIALIZER;

int flag = 0;

void *my_thread(void *var)
{
	pthread_mutex_lock(&mutex);
	while (flag == 0) {
    	pthread_cond_wait(&cond, &mutex);
	}
	pthread_mutex_unlock(&mutex);

	printf(""flag is set\n"");
	return NULL;
}

int main()
{
	pthread_t t;

	pthread_create (&t, NULL, my_thread, NULL);
	sleep(10);

	pthread_mutex_lock(&mutex);
	flag = 1;
	pthread_cond_signal(&cond);
	pthread_mutex_unlock(&mutex);

	pthread_join(t, NULL);
	return 0;
}
"
119-18935,moehuster/czq,day06/buffer.c,8,1,2,7502524928.888306,174731.0,42937.57219955246,1310.0,1293.0,39681.0,13637.0,1617.0,635.0,1339.0,593.0,1500000000,5.001683285925537,1082014363648.0,0.0148971848155164,0.0784725608612476,"#include <stdio.h>
#include <unistd.h>

int main()
{
	int i;
	for (i=0; i<5; i++){
		printf(""hello"");
		sleep(1);
	}
}
"
108-696,wcnnbdk1/hello_world,CLearning/understandC_ja/m_chap02/backspace.c,20,2,6,10601261671.632528,355040497.0,29.85930270089725,1316.0,1298.0,96149087.0,22192964.0,1629.0,635.0,1345.0,592.0,1500000000,7.067507781088352,1082014363648.0,7.362540392117578e-06,3.5498793239606777e-05,"#include <stdio.h>
#include <time.h>

int sleep(unsigned long x)
{
    clock_t c1 = clock(), c2;
    do {
        if ((c2 = clock()) == (clock_t)-1)
            return 0;
    } while (1000.0 * (c2 - c1) / CLOCKS_PER_SEC < x);
    return 1;
}

int main(void)
{
    int i;
    printf(""ABCDEFG"");
    for (i = 0; i < 7; i++) {
        sleep(1000);
        printf(""\b \b"");
        fflush(stdout);
    }
    return 0;
}
"
367-1888,27629678/Computer-Systems,01_chapter/show_byte.c,16,1,4,2022213.06972195,179529.0,11.26399077586351,1361.0,1341.0,40673.0,14251.0,1633.0,635.0,1354.0,593.0,1500000000,0.0013481420464813,1082014363648.0,0.0150504932350762,0.076742407690627,"#include <stdio.h>

typedef unsigned char *byte_pointer;

void show_bytes(byte_pointer start, int length) 
{
	int i;
	for(i=0;i<length;i++)
		printf(""%.2x"", start[i]);

	printf(""\n"");
}

int main()
{
	int x = 128000;
	show_bytes(&x, sizeof(int));

	float y = 1.0;
	show_bytes(&y, sizeof(float));

	return 0;
}
"
086-17439,JonArnfred/Euler,Euler5/euler5.c,18,2,6,735625300.4400059,2181591464.0,0.3371966347224395,1338.0,1319.0,39185.0,13310.0,1618.0,636.0,1340.0,593.0,1500000000,0.4904168669600039,1082014363648.0,1.2179182233910685e-06,0.07975997714068,"#include <stdlib.h>
#include <stdio.h>

int main(void){

	int foundIt = 0;
	for(int i = 20; i > 0; i++){
		int a = 20;
		while(i%a==0){
			a--;
			if(a==0){
				foundIt = 1;
				break;	
			}
		}
		if(foundIt == 1){
			printf(""this is it: %d"", i);
			break;
		}
	}
	return 0;
}
"
135-33554,lekum/head-first-c,chapter_7/marriage/marriage.c,45,1,7,1787884.7429527498,177959.0,10.046606240763325,1344.0,1324.0,40367.0,13951.0,1636.0,641.0,1355.0,599.0,1500000000,0.0011919231619685,1082014363648.0,0.0149922173084811,0.0778931477594904,"#include <stdio.h>

typedef enum
{
    DUMP,
    SECOND_CHANCE,
    MARRIAGE
} response_type;

typedef struct
{
    char *name;
    response_type type;
} response;

void dump(response r)
{
    printf(""Dear %s,\n"", r.name);
    puts(""Unfortunately your last date contacted us to"");
    puts(""say that they will not be seeing you again"");
}

void second_chance(response r)
{
    printf(""Dear %s,\n"", r.name);
    puts(""Good news: your last date has asked us to"");
    puts(""arrange another meeting. Please call ASAP."");
}

void marriage(response r)
{
    printf(""Dear %s,\n"", r.name);
    puts(""Congratulations! Your last date has contacted"");
    puts(""us with a proposal of marriage."");
}

void (*replies[])(response r) = {dump, second_chance, marriage};

int main()
{
    response r[] = {
                       {""Mike"", DUMP},
                       {""Luis"", SECOND_CHANCE},
                       {""Matt"", SECOND_CHANCE},
                       {""William"", MARRIAGE}
                   };
    int i;
    for (i = 0; i < 4; i++)
    {
        replies[r[i].type](r[i]);
    }
    return 0;
}
"
367-1062,wonsork/language-c-edu-firststep,Test_print_stack.c,29,1,9,1601988.10044675,188669.0,8.490997461162141,1346.0,1328.0,42591.0,15652.0,1625.0,642.0,1345.0,597.0,1500000000,0.0010679920669645,1082014363648.0,0.0141729695922488,0.0722661950792369,"#include<stdio.h>


static int nAge=0;
void callMe()
{
  printf(""Callme\n"" );
  int count=0;
  int age=0;


  
  printf("" age %d \t count %d\n"",age,count);

  count=100;
  age=25;
  printf("" new age %d \t count %d\n"",age,count);


  for(int i=0;i<10;i++)
    {
      printf(""\n variable i =%d\n"",i);
      age=i;
      printf(""age %d"",age);
      nAge  =age;
    }
}

void callName()
{
  printf(""Call name nAge %d \n"",nAge);
}



int main()
{
  printf(""hello \n"");
  callMe();
  callName();
  return 0;
}

"
285-31406,tdrhq/opc,tests/code-samples/TLE.c,7,1,1,29985075526.52154,616915670.0,48.60482069777868,1284.0,1269.0,94922701.0,47455051.0,1611.0,633.0,1337.0,592.0,1500000000,19.99005035101436,1082014363648.0,4.138328987493542e-06,2.930935445588437e-05,"#include <stdio.h>
#include <time.h>

#define TIMEOUT 20
int main ()
{
	time_t s = time (NULL);	
	while (time (NULL) - s < TIMEOUT);
	printf (""OK\n"");
	return 0;
}
"
192-24464,acarno/slicer,valgrind/memcheck/tests/malloc1.c,18,1,4,2118483.0693528,169083.0,12.52924894874115,1142.0,1132.0,38460.0,12696.0,1568.0,585.0,1317.0,546.0,1500000000,0.0014123220462352,1082014363648.0,0.0134490161636592,0.0785049652044725,"
#include <stdio.h>
#include <stdlib.h>

void really ( void );

int main ( void )
{ 
   really();
   return 0;
}

void really ( void )
{
   int i;
   char* p = malloc(10);
   for (i = 0; i < 10; i++)
      p[i] = 'z';
   free(p);
   p[1] = 'z';
   p = malloc(10);
   p[2] = 'z';
   p[-1] = 'z';
}
"
171-26597,zhongwei/learningc,cprimerplus/ch11/starsrch.c,19,1,7,1631342.92233735,176679.0,9.23014619734094,1363.0,1340.0,40015.0,13776.0,1632.0,637.0,1352.0,595.0,1500000000,0.0010875619482249,1082014363648.0,0.0152989319613536,0.0783774237325946,"#include <stdio.h>
#include <string.h>

#define LISTSIZE 6

int main()
{
	const char		*list[LISTSIZE] = {
		""astronomy"", ""astounding"",
		""astrophysics"", ""ostracize"",
		""asterism"", ""astrophobia""
	};

	int			count = 0;
	int			i;

	for (i = 0; i < LISTSIZE; i++) {
		if (strncmp(list[i], ""astro"", 5) == 0) {
			printf(""Found: %s\n"", list[i]);
			count++;
		}
	}

	printf(""The list contained %d words beginning""
		"" with astro.\n"", count);

	return 0;
}
"
